Species_code,Species,Species_common
ACRU,Acer rubrum,Red maple
CAGL,Carya glabra.,Pignut hickory
CACA,Carpinus caroliniana,Ironwood
COFL,Cornus florida.,Flowering dogwood
FAGR,Fagus grandifolia,American beech
ILOP,Ilex opaca,American holly
JUVI,Juniperus virginiana,Eastern cedar
LIST,Liquidambar styraciflua,Sweet gum
LITU,Liriodendron tulipifera,Tulip poplar
NYSY,Nyssa sylvatica,Black gum
PATO,Paulownia tomentosa,Princesstree
PRSE,Prunus serotina,Black cherry
QU??,Quercus spp.,Oak (undetermined)
QUAL,Quercus alba,White oak
QUMO,Quercus montana,Chestnut oak
QURU,Quercus rubra,Red oak
