uid,namedLocation,domainID,siteID,plotID,subplotID,trapID,decimalLatitude,decimalLongitude,elevation,nlcdClass,plotType,geodeticDatum,coordinateUncertainty,elevationUncertainty,date,samplingProtocolVersion,targetTaxaPresent,trapType,trapPlacement,trapSize,remarks,recordedBy,publicationDate,release
2a73c44e-c8a8-4b58-a596-21051cd023ff,SERC_060.basePlot.ltr,D02,SERC,SERC_060,39,SERC_060_670,38.893087,-76.564177,6.3,deciduousForest,tower,WGS84,20.2,0.2,2016-03-23,NEON.DOC.001710vE,Y,Elevated,Random,0.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
fc553ec1-d868-4212-958d-1465bf5261a1,SERC_051.basePlot.ltr,D02,SERC,SERC_051,39,SERC_051_621,38.882867,-76.558626,8,deciduousForest,tower,WGS84,20.1,0.1,2016-03-23,NEON.DOC.001710vE,Y,Elevated,Random,0.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
ea4cac27-f976-4634-9664-77f78fa4631c,SERC_062.basePlot.ltr,D02,SERC,SERC_062,39,SERC_062_527,38.881785,-76.558018,4.2,deciduousForest,tower,WGS84,20.1,0.2,2016-03-23,NEON.DOC.001710vE,Y,Ground,Random,1.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
78c6e164-e1b6-47cc-b5b4-eaf24de30d7c,SERC_048.basePlot.ltr,D02,SERC,SERC_048,39,SERC_048_621,38.893179,-76.566969,13.8,deciduousForest,tower,WGS84,20.3,0.3,2016-03-23,NEON.DOC.001710vE,Y,Elevated,Random,0.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
4ef51d56-5c64-4fee-a62b-aa6ca7c82c83,SERC_055.basePlot.ltr,D02,SERC,SERC_055,23,SERC_055_395,38.894323,-76.56794,10.5,deciduousForest,tower,WGS84,20.1,0.1,2016-03-23,NEON.DOC.001710vE,Y,Elevated,Random,0.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
1487b5d2-982d-48e6-a1be-2b9a703e9f7b,SERC_050.basePlot.ltr,D02,SERC,SERC_050,23,SERC_050_333,38.881351,-76.561429,13.8,deciduousForest,tower,WGS84,20.2,0.2,2016-03-23,NEON.DOC.001710vE,Y,Elevated,Random,0.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
d88f069f-5572-4db4-84c3-99d9ff275413,SERC_050.basePlot.ltr,D02,SERC,SERC_050,21,SERC_050_193,38.881351,-76.561429,13.8,deciduousForest,tower,WGS84,20.2,0.2,2016-03-23,NEON.DOC.001710vE,Y,Ground,Random,1.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
850e65b0-60dd-4477-b196-dd016e55d2e2,SERC_055.basePlot.ltr,D02,SERC,SERC_055,41,SERC_055_945,38.894323,-76.56794,10.5,deciduousForest,tower,WGS84,20.1,0.1,2016-03-23,NEON.DOC.001710vE,Y,Ground,Random,1.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
c166cd82-ec85-4399-a52f-48a1393fab5b,SERC_048.basePlot.ltr,D02,SERC,SERC_048,21,SERC_048_079,38.893179,-76.566969,13.8,deciduousForest,tower,WGS84,20.3,0.3,2016-03-23,NEON.DOC.001710vE,Y,Elevated,Random,0.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
75309dd5-bdee-4ef8-95ec-5333cf545f4c,SERC_062.basePlot.ltr,D02,SERC,SERC_062,21,SERC_062_022,38.881785,-76.558018,4.2,deciduousForest,tower,WGS84,20.1,0.2,2016-03-23,NEON.DOC.001710vE,Y,Elevated,Random,0.5,,dsoteropoulous@neoninc.org,20210308T214426Z,PROVISIONAL
