name,pubCode,description,startDate,endDate
"bgc.analyte","d15N","Ratio of 15N:14N in a sample relative to atmospheric N2",2012-01-01T00:00:00Z,
"bgc.analyte","d13C","Ratio of 13C:12C in a sample relative to VPDB",2012-01-01T00:00:00Z,
"bgc.analyte","carbonPercent","Percent carbon in a sample on a dry weight basis",2012-01-01T00:00:00Z,
"bgc.analyte","nitrogenPercent","Percent nitrogen in a sample on a dry weight basis",2012-01-01T00:00:00Z,
"bgc.analyte","CNratio","Ratio of carbon to nitrogen concentration in a sample on a dry weight basis",2012-01-01T00:00:00Z,
"bgc.analyteUnits","permill","Indicator that the units are permill",2012-01-01T00:00:00Z,
"bgc.analyteUnits","percent","Indicator that the units are percent",2012-01-01T00:00:00Z,
"bgc.cnIsotopeQF","OK","both d15N and d13C values are ok, no issues",2012-01-01T00:00:00Z,
"bgc.cnIsotopeQF","sample d15N out of qaqc tolerance","d15N value is out of laboratory qaqc tolerance, use with caution",2012-01-01T00:00:00Z,
"bgc.cnIsotopeQF","sample d13C out of qaqc tolerance","d13C value is out of laboratory qaqc tolerance, use with caution",2012-01-01T00:00:00Z,
"bgc.cnIsotopeQF","sample d15N and d13C out of qaqc tolerance","both d15N and d13C values are out of laboratory qaqc tolerance, use with caution",2012-01-01T00:00:00Z,
"bgc.cnPercentQF","OK","both percent nitrogen and percent carbon data are ok, no issues",2012-01-01T00:00:00Z,
"bgc.cnPercentQF","sample percent N out of qaqc tolerance","percent nitrogen is out of laboratory qaqc tolerance, use with caution",2012-01-01T00:00:00Z,
"bgc.cnPercentQF","sample percent C out of qaqc tolerance","percent carbon is out of laboratory qaqc tolerance, use with caution",2012-01-01T00:00:00Z,
"bgc.cnPercentQF","sample percent N and C out of qaqc tolerance","both percent nitrogen and percent carbon are out of laboratory qaqc tolerance, use with caution",2012-01-01T00:00:00Z,
"bgc.isotopeAccuracyQF","OK","observed values of run QA material fall within acceptance criteria for stable isotopes",2012-01-01T00:00:00Z,
"bgc.isotopeAccuracyQF","d15N run QA criteria not met","observed values of run QA material do not meet acceptance criteria for d15N",2012-01-01T00:00:00Z,
"bgc.isotopeAccuracyQF","d13C run QA criteria not met","observed values of run QA material do not meet acceptance criteria for d13C",2012-01-01T00:00:00Z,
"bgc.isotopeAccuracyQF","d15N and d13C run QA criteria not met","observed values of run QA material do not meet acceptance criteria for d15N or d13C",2012-01-01T00:00:00Z,
