uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,eventID,trappingDays,fieldSampleID,samplingProtocolVersion,trapCondition,toxicodendronPossible,remarks,measuredBy,recordedBy,publicationDate,release
fc2bbe31-f006-4d85-89a3-135b4ed5745b,SERC_060.basePlot.ltr,D02,SERC,SERC_060,SERC_060_670,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC060670.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
a092429d-31a9-4580-a15f-e2d31185f403,SERC_057.basePlot.ltr,D02,SERC,SERC_057,SERC_057_909,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC057909.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
633b4fc1-08cb-4bcb-b288-79761b0ba8a3,SERC_044.basePlot.ltr,D02,SERC,SERC_044,SERC_044_371,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC044371.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
ff34823a-a5b8-4755-94e9-87fac655ff61,SERC_052.basePlot.ltr,D02,SERC,SERC_052,SERC_052_869,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC052869.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
ce1a9b99-3985-4040-b4ac-940316855c16,SERC_044.basePlot.ltr,D02,SERC,SERC_044,SERC_044_941,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC044941.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
84424485-1801-4c19-a5db-b5734963107c,SERC_049.basePlot.ltr,D02,SERC,SERC_049,SERC_049_665,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC049665.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
3a2d5be7-67b1-457d-9a67-627ee4b89c5f,SERC_047.basePlot.ltr,D02,SERC,SERC_047,SERC_047_206,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC047206.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
c018c0d5-f111-4799-890d-336e9d4ead43,SERC_056.basePlot.ltr,D02,SERC,SERC_056,SERC_056_918,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC056918.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
9aa85580-a9df-4785-a7b4-7a99b7c41b86,SERC_057.basePlot.ltr,D02,SERC,SERC_057,SERC_057_670,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC057670.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
042363ab-67af-47e8-98b2-df261cc76fd2,SERC_052.basePlot.ltr,D02,SERC,SERC_052,SERC_052_665,2015-12-03,2016-02-03,LTR.2016.SERC.01,62,NEON.LTR.SERC052665.20160203,NEON.DOC.001710vC,"OK - Litter collected - Trap in good shape, no issues",,,gchapman@neoninc.org,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
