uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy,publicationDate,release
d808d6b0-11b0-42fd-a69c-d2013eecc5ce,SERC_059.basePlot.ltr,D02,SERC,SERC_059,SERC_059_022,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC059022.20160203,NEON.LTR.SERC059022.20160203.WDY,NEON.DOC.001710vC,N,Woody material,1.28,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
88e01e73-10e8-4b8e-be17-ef08ee854a50,SERC_059.basePlot.ltr,D02,SERC,SERC_059,SERC_059_022,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC059022.20160203,NEON.LTR.SERC059022.20160203.NDL,NEON.DOC.001710vC,N,Needles,0,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
ee311caa-0bb8-4c36-ba73-8c445f83e8a1,SERC_059.basePlot.ltr,D02,SERC,SERC_059,SERC_059_022,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC059022.20160203,NEON.LTR.SERC059022.20160203.OTH,NEON.DOC.001710vC,N,Other,0.28,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
8e9fef5f-2539-4653-b494-c228ab0c6ada,SERC_059.basePlot.ltr,D02,SERC,SERC_059,SERC_059_022,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC059022.20160203,NEON.LTR.SERC059022.20160203.SDS,NEON.DOC.001710vC,N,Seeds,13.73,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
c434bc85-6b58-4a33-84c6-4a86e050a30c,SERC_059.basePlot.ltr,D02,SERC,SERC_059,SERC_059_022,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC059022.20160203,NEON.LTR.SERC059022.20160203.LVS,NEON.DOC.001710vC,N,Leaves,0.59,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
9ed7aada-8cb8-4489-8a5b-7433d5191989,SERC_059.basePlot.ltr,D02,SERC,SERC_059,SERC_059_022,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC059022.20160203,NEON.LTR.SERC059022.20160203.TWI,NEON.DOC.001710vC,N,Twigs/branches,0.71,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
3362a85a-e20c-4903-acde-17d968ad5dc4,SERC_059.basePlot.ltr,D02,SERC,SERC_059,SERC_059_022,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC059022.20160203,NEON.LTR.SERC059022.20160203.FLR,NEON.DOC.001710vC,N,Flowers,0,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
5e2f7fd5-d71e-4dcb-b3ff-fd026f7bdf92,SERC_043.basePlot.ltr,D02,SERC,SERC_043,SERC_043_102,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC043102.20160203,NEON.LTR.SERC043102.20160203.OTH,NEON.DOC.001710vC,N,Other,0.07,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
6f3078c1-49f8-42fd-9bf5-c70b1e78d15b,SERC_043.basePlot.ltr,D02,SERC,SERC_043,SERC_043_102,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC043102.20160203,NEON.LTR.SERC043102.20160203.NDL,NEON.DOC.001710vC,N,Needles,0,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
12a87c38-74e8-4973-a719-40f785052796,SERC_049.basePlot.ltr,D02,SERC,SERC_049,SERC_049_665,2016-02-19,2015-12-03,2016-02-03,,2016-02-09T17:40Z,2016-02-22T17:00Z,NEON.LTR.SERC049665.20160203,NEON.LTR.SERC049665.20160203.FLR,NEON.DOC.001710vC,N,Flowers,0,N,,dsoteropoulos@neoninc.org,20210114T173454Z,RELEASE-2021
